<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;221230;000000;7,754;7,777;7,628;7,692;112,981
PLZL;D;230103;000000;7,778;7,910;7,753.5;7,903;179,591
PLZL;D;230104;000000;7,940.5;8,036;7,925;8,014.5;161,437
PLZL;D;230105;000000;8,014.5;8,015;7,833;7,875.5;123,918
PLZL;D;230106;000000;7,890;7,936;7,780;7,905;145,553
PLZL;D;230109;000000;7,965.5;7,999.5;7,800;7,845;188,470
PLZL;D;230110;000000;7,830.5;7,900;7,751;7,876;124,405
PLZL;D;230111;000000;7,905;7,920;7,856;7,881.5;102,684
PLZL;D;230112;000000;7,889;7,974.5;7,850;7,934;132,273
PLZL;D;230113;000000;7,937;8,120;7,901.5;8,068;294,212
PLZL;D;230116;000000;8,094.5;8,260;8,076;8,228;298,540
PLZL;D;230117;000000;8,225;8,280;8,107;8,129;215,912
PLZL;D;230118;000000;8,128;8,248.5;8,080.5;8,155;163,328
PLZL;D;230119;000000;8,158.5;8,200;8,039;8,164.5;158,796
PLZL;D;230120;000000;8,168;8,205;8,130;8,174.5;97,560
PLZL;D;230123;000000;8,199.5;8,269;8,161.5;8,224;131,632
PLZL;D;230124;000000;8,250.5;8,447;8,250;8,435;403,531
PLZL;D;230125;000000;8,440;8,569.5;8,435;8,569.5;246,316
PLZL;D;230126;000000;8,572;8,769;8,528.5;8,766;417,664
PLZL;D;230127;000000;8,773;8,780;8,662.5;8,768;198,359
PLZL;D;230130;000000;8,830;9,298;8,781;9,252.5;672,590
PLZL;D;230131;000000;9,247;9,515;9,070;9,478;665,708
PLZL;D;230201;000000;9,476;9,815;9,355;9,720;1,081,475
PLZL;D;230202;000000;9,799;9,800;9,430;9,449;641,694
PLZL;D;230203;000000;9,447.5;9,545;9,158;9,248;849,849
PLZL;D;230206;000000;9,264.5;9,434;9,210;9,342;313,510
PLZL;D;230207;000000;9,349.5;9,390;9,025;9,111.5;426,219
PLZL;D;230208;000000;9,100;9,287;9,025;9,218.5;388,325
PLZL;D;230209;000000;9,249.5;9,298;9,121;9,139.5;188,583
PLZL;D;230210;000000;9,102.5;9,150;9,042.5;9,123.5;150,881
PLZL;D;230213;000000;9,123.5;9,240;9,063;9,080;157,344
PLZL;D;230214;000000;9,101.5;9,144.5;8,890;8,931.5;281,607
PLZL;D;230215;000000;8,877;8,877;8,085.5;8,375;1,013,190
PLZL;D;230216;000000;8,473;8,620;8,303;8,427;580,954
PLZL;D;230217;000000;8,306.5;8,693.5;8,227;8,667;410,328
PLZL;D;230220;000000;8,643.5;8,949;8,422;8,922.5;665,377
PLZL;D;230221;000000;8,930;9,150;8,824;8,963.5;618,702
PLZL;D;230222;000000;8,972;8,973;8,704.5;8,743;293,019
PLZL;D;230224;000000;8,749;8,846;8,661;8,788;174,009
PLZL;D;230227;000000;8,705;8,908;8,700;8,878;213,530
PLZL;D;230228;000000;8,899;8,940;8,710;8,788.5;278,006
PLZL;D;230301;000000;8,819.5;8,985;8,790;8,939;278,287
PLZL;D;230302;000000;8,925;8,990;8,781.5;8,836;333,875
PLZL;D;230303;000000;8,894.5;8,969;8,839;8,956;163,850
PLZL;D;230306;000000;8,995.5;9,068;8,972;9,003.5;138,668
PLZL;D;230307;000000;9,007.5;9,019;8,885;8,919.5;140,687
PLZL;D;230309;000000;8,909.5;8,954.5;8,821;8,892.5;135,721
PLZL;D;230310;000000;8,879;9,041;8,856;8,976;160,796
PLZL;D;230313;000000;9,075;9,395;9,051;9,395;707,266
PLZL;D;230314;000000;9,429;9,488;9,191;9,239.5;511,429
PLZL;D;230315;000000;9,239;9,370;9,064.5;9,268.5;567,477
PLZL;D;230316;000000;9,265;9,320;9,178;9,220;190,863
PLZL;D;230317;000000;9,249.5;9,475;9,220;9,412;326,971
PLZL;D;230320;000000;9,490;9,600;9,375;9,419.5;410,325
PLZL;D;230321;000000;9,388.5;9,429.5;9,261.5;9,310;183,641
PLZL;D;230322;000000;9,320.5;9,532;9,289;9,488;262,937
