<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SELG;D;230511;000000;52.69;53;50.5;51.46;4,694,570
SELG;D;230512;000000;51.37;51.37;49.8;50.02;2,415,290
SELG;D;230515;000000;48.11;49.83;48.07;49.35;4,573,780
SELG;D;230516;000000;49.64;49.81;49.11;49.38;1,202,390
SELG;D;230517;000000;49.52;49.52;48.6;48.97;1,217,310
SELG;D;230518;000000;49.03;49.7;48.62;48.77;1,190,850
SELG;D;230519;000000;48.77;48.77;48.1;48.13;790,180
SELG;D;230522;000000;48.28;48.76;48.15;48.52;962,910
SELG;D;230523;000000;48.58;48.81;48.21;48.67;641,740
SELG;D;230524;000000;48.67;49.95;48.61;49.39;3,004,830
SELG;D;230525;000000;49.4;49.57;48.53;49.05;989,000
SELG;D;230526;000000;49.12;49.42;49.06;49.24;538,860
SELG;D;230529;000000;49.54;49.6;48.8;48.94;946,450
SELG;D;230530;000000;48.77;49.13;48.18;48.67;1,070,840
SELG;D;230531;000000;48.87;51.7;48.67;50.23;9,110,430
SELG;D;230601;000000;50.53;51.15;48.91;49.77;2,031,620
SELG;D;230602;000000;49.8;50.57;49.59;49.86;1,238,990
SELG;D;230605;000000;50.25;50.7;49.81;49.98;1,383,510
SELG;D;230606;000000;49.94;50.26;49.02;50.2;1,459,390
SELG;D;230607;000000;50.19;50.8;49.63;49.78;915,840
SELG;D;230608;000000;49.74;49.85;49.51;49.7;515,080
SELG;D;230609;000000;49.65;50.03;49.51;49.75;581,220
SELG;D;230613;000000;49.77;52;49.77;50.78;2,806,600
SELG;D;230614;000000;51;51.01;49.2;50.31;1,145,080
SELG;D;230615;000000;50.2;50.42;49.5;49.92;975,980
SELG;D;230616;000000;49.92;50.37;49.9;50.06;613,730
SELG;D;230619;000000;50.06;50.35;49.55;50.1;619,920
SELG;D;230620;000000;50.93;50.93;49.91;50.22;791,210
SELG;D;230621;000000;52.9;52.9;49.92;51.18;5,096,720
SELG;D;230622;000000;51.55;52.74;51.2;51.85;2,588,300
SELG;D;230623;000000;51.86;52;50.1;51.49;2,167,550
SELG;D;230626;000000;51;51.29;50.14;50.4;1,085,250
SELG;D;230627;000000;50.5;51.04;50.4;50.53;619,360
SELG;D;230628;000000;50.61;51.24;50.27;50.65;922,230
SELG;D;230629;000000;50.53;50.9;50.12;50.28;528,880
SELG;D;230630;000000;50.3;50.65;49.91;50.39;734,360
SELG;D;230703;000000;50.47;51.27;50.39;51.07;779,940
SELG;D;230704;000000;51.07;51.35;50.32;51.05;629,740
SELG;D;230705;000000;51.49;52.64;51.3;52.03;2,046,200
SELG;D;230706;000000;52.1;53.2;52.04;52.34;1,900,810
SELG;D;230707;000000;52.35;53.1;51.51;52.51;1,031,240
SELG;D;230710;000000;52.71;56.04;52.7;53.91;7,090,510
SELG;D;230711;000000;54.26;57.7;53.94;55.89;8,595,840
SELG;D;230712;000000;55.89;57.26;55.8;56.99;3,793,650
SELG;D;230713;000000;57.99;58.6;56.08;57.63;8,772,740
SELG;D;230714;000000;57.99;57.99;56.78;57.19;2,184,820
SELG;D;230717;000000;57.48;57.98;56;57.31;2,492,890
SELG;D;230718;000000;57.54;58.67;57.5;58.58;2,490,370
SELG;D;230719;000000;59.07;59.67;58.22;59.02;2,846,370
SELG;D;230720;000000;59.26;61.19;58.57;60.09;8,158,370
SELG;D;230721;000000;60.13;60.9;59.04;60.79;2,054,600
SELG;D;230724;000000;60.98;67.24;60.85;67;14,548,560
SELG;D;230725;000000;69.99;77.2;67.56;77.05;76,207,580
SELG;D;230726;000000;76.6;85;72.65;74.03;96,797,570
SELG;D;230727;000000;74.24;78;73.07;74;24,175,190
