<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;230406;000000;9678;9710;9572;9589.5;124232
PLZL;D;230407;000000;9608;9645;9516.5;9600;100007
PLZL;D;230410;000000;9584;9686.5;9555.5;9666.5;120414
PLZL;D;230411;000000;9685.5;9909.5;9557.5;9619;395352
PLZL;D;230412;000000;9652.5;9767.5;9567.5;9673;141693
PLZL;D;230413;000000;9696.5;9888.5;9661;9883;246608
PLZL;D;230414;000000;9893;9976;9725;9835;285178
PLZL;D;230417;000000;9878.5;10369.5;9849.5;10354;614133
PLZL;D;230418;000000;10368.5;10488;10245;10421.5;309316
PLZL;D;230419;000000;10412.5;10412.5;10125;10197.5;270268
PLZL;D;230420;000000;10205;10470;10101;10411;240053
PLZL;D;230421;000000;10377.5;10437.5;10250;10382.5;119041
PLZL;D;230424;000000;10381.5;10595;10370;10540;217978
PLZL;D;230425;000000;10551;10600;10429;10543;161348
PLZL;D;230426;000000;10554.5;10592;10500;10543;118154
PLZL;D;230427;000000;10579.5;10645;10506;10586;150994
PLZL;D;230428;000000;10588;10608;10001;10404;227412
PLZL;D;230502;000000;10390;10490;10280;10460;165954
PLZL;D;230503;000000;10483;10527;10213.5;10319.5;200792
PLZL;D;230504;000000;10345;10600;10300;10575;264720
PLZL;D;230505;000000;10599;10620;10351.5;10474;162912
PLZL;D;230508;000000;10460;10550;10443;10507;47620
PLZL;D;230510;000000;10507;10750;10500;10742.5;235826
PLZL;D;230511;000000;10776;10793;10252;10439.5;527231
PLZL;D;230512;000000;10449.5;10522;10341;10454;129820
PLZL;D;230515;000000;10482;10566;10462.5;10510.5;110286
PLZL;D;230516;000000;10525.5;10550;10452;10512.5;91151
PLZL;D;230517;000000;10499;10510;10390;10448;67530
PLZL;D;230518;000000;10447;10447.5;10280.5;10337.5;107287
PLZL;D;230519;000000;10237;10278;9850;10175;403680
PLZL;D;230522;000000;10206;10265;9930;9954;137500
PLZL;D;230523;000000;9950;10200;9840;10053;245091
PLZL;D;230524;000000;10110.5;10197.5;10050.5;10128;107119
PLZL;D;230525;000000;10150;10168.5;9990;10054;75881
PLZL;D;230526;000000;10054;10225;10050;10201.5;81518
PLZL;D;230529;000000;10249.5;10996;10220;10773;437916
PLZL;D;230530;000000;10648;10793.5;10402;10512;242032
PLZL;D;230531;000000;10563.5;10777.5;10370.5;10594;199041
PLZL;D;230601;000000;10617;10705;10539;10622.5;94543
PLZL;D;230602;000000;10655;10690;10501;10550;146645
PLZL;D;230605;000000;10599.5;10599.5;9950;10182;336090
PLZL;D;230606;000000;10185;10351;9935;10287.5;893973
PLZL;D;230607;000000;10262.5;10432;10200.5;10315;213293
PLZL;D;230608;000000;10339.5;10369;10208.5;10337;96762
PLZL;D;230609;000000;10345;10367.5;10261;10313;58567
PLZL;D;230613;000000;10325;10400;10250;10358;157481
PLZL;D;230614;000000;10372;10470;10300;10395;111746
PLZL;D;230615;000000;10365;10485;10320;10450;117762
PLZL;D;230616;000000;10460;10711;10420.5;10671;239701
PLZL;D;230619;000000;10672;10754;10557.5;10649;153195
PLZL;D;230620;000000;10648.5;11056;10603.5;10980;370095
PLZL;D;230621;000000;10966;11380;10867.5;11273;363466
PLZL;D;230622;000000;11270;11480;11109;11151.5;454938
PLZL;D;230623;000000;11140;11175;10726;10845.5;314799
PLZL;D;230626;000000;11120;11120;10474;10795.5;321516
PLZL;D;230627;000000;10805;10976;10620;10876;175503
PLZL;D;230628;000000;10876;10950;10690.5;10861;101860
PLZL;D;230629;000000;10866;10950;10740;10798;84479
PLZL;D;230630;000000;10809;10887.5;10720;10804;80470
PLZL;D;230703;000000;10827;10899;10613.5;10717;150827
PLZL;D;230704;000000;10742;10785;10660;10720;90735
PLZL;D;230705;000000;10742;10932.5;10705;10847;202468
PLZL;D;230706;000000;10876;10946.5;10725.5;10780;131321
PLZL;D;230707;000000;10789;10831;10650;10712.5;121617
PLZL;D;230710;000000;10749.5;12308.5;10730.5;10959.5;3009093
PLZL;D;230711;000000;11022;11045;10600;10756;746132
PLZL;D;230712;000000;10756;10848.5;10651;10774;238258
PLZL;D;230713;000000;10796.5;10827;10685.5;10728;165709
PLZL;D;230714;000000;10727;10864.5;10654;10823;193489
PLZL;D;230717;000000;10790;11187.5;10750;11152;304651
PLZL;D;230718;000000;11173.5;11468;11161;11411;482091
PLZL;D;230719;000000;11440;11530.5;11253.5;11438;335152
PLZL;D;230720;000000;11440.5;11738;11355;11521.5;436315
PLZL;D;230721;000000;11537;11680;11482;11546;165358
PLZL;D;230724;000000;11545;11642.5;11466;11524.5;128255
PLZL;D;230725;000000;11530;11680;11482.5;11643;148699
PLZL;D;230726;000000;11658;11793.5;11475;11615;286674
PLZL;D;230727;000000;11625;11747;11581;11659.5;122675
PLZL;D;230728;000000;11648;11725;11595.5;11685;93368
PLZL;D;230731;000000;11701.5;11925;11691.5;11892;156646
PLZL;D;230801;000000;11919.5;11922.5;11730;11785;102864
PLZL;D;230802;000000;11800;11885.5;11737;11799.5;74189
PLZL;D;230803;000000;11816.5;11850;11720;11820.5;89119
PLZL;D;230804;000000;11820;11869.5;11500;11622.5;155786
PLZL;D;230807;000000;11642;11836;11600;11639.5;135016
PLZL;D;230808;000000;11645;11669.5;11307.5;11504.5;117940
PLZL;D;230809;000000;11510;11567.5;11420;11505.5;73038
PLZL;D;230810;000000;11508;11720;11480;11697.5;116959
PLZL;D;230811;000000;11696;11777.5;11658;11678;81997
PLZL;D;230814;000000;11722.5;11825;11452;11471;159317
